away_team,week,posteam,drive_play_count,drive,qtr,drive_start_yard_line,drive_end_yard_line,drive_end_transition,down,ydstogo,yrdln,time,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,pass_length,pass_location,air_yards,yards_after_catch,goal_to_go,first_down_pass,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,drive_time_of_possession,drive_first_downs,drive_inside20,drive_ended_with_score,drive_yards_penalized,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,tackle_for_loss_1_player_name,tackle_for_loss_2_player_name,qb_hit_1_player_name,pass_defense_1_player_name,fumbled_1_player_name,sack_player_name,half_sack_1_player_name,half_sack_2_player_name,replay_or_challenge_result,penalty_type,drive_start_transition
GB,1,GB,8,5,1,PHI 13,PHI 5,FIELD_GOAL,1,13,PHI 13,03:53,8,"(3:53) (Shotgun) 10-J.Love pass short right to 85-T.Kraft pushed ob at PHI 5 for 8 yards (8-C.Gardner-Johnson, 98-J.Carter).",pass,8,1,0,1,0,0,0,J.Love,8,T.Kraft,8,NA,NA,short,right,1,7,1,0,0,0,0,0,0,0,4:05,1,1,1,-20,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FUMBLE
GB,1,GB,8,5,1,PHI 13,PHI 5,FIELD_GOAL,2,5,PHI 5,03:15,8,(3:15) 10-J.Love pass incomplete short right [19-J.Sweat].,pass,0,0,0,1,0,0,0,J.Love,NA,NA,NA,NA,NA,short,right,5,NA,1,0,0,0,0,0,1,0,4:05,1,1,1,-20,0,0,0,0,0,NA,NA,J.Sweat,NA,NA,NA,NA,NA,NA,NA,FUMBLE
GB,1,GB,8,5,1,PHI 13,PHI 5,FIELD_GOAL,3,5,PHI 5,03:09,8,(3:09) (Shotgun) 10-J.Love pass incomplete short right to 9-C.Watson.,pass,0,1,0,1,0,0,0,J.Love,NA,C.Watson,NA,NA,NA,short,right,5,NA,1,0,0,1,0,0,1,0,4:05,1,1,1,-20,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FUMBLE
GB,1,GB,8,5,1,PHI 13,PHI 5,FIELD_GOAL,4,5,PHI 5,03:04,8,"(3:04) 44-B.Narveson 23 yard field goal is GOOD, Center-42-M.Orzech, Holder-19-D.Whelan.",field_goal,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,4:05,1,1,1,-20,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FUMBLE
GB,1,PHI,11,6,1,PHI 30,GB 18,TOUCHDOWN,NA,0,GB 35,03:01,70,"44-B.Narveson kicks 65 yards from GB 35 to end zone, Touchback to the PHI 30.",kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,5:23,5,1,1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KICKOFF
GB,1,PHI,11,6,1,PHI 30,GB 18,TOUCHDOWN,1,10,PHI 30,03:01,70,(3:01) (Shotgun) 1-J.Hurts pass short right to 88-D.Goedert to PHI 34 for 4 yards (23-J.Alexander).,pass,4,1,0,1,0,0,0,J.Hurts,4,D.Goedert,4,NA,NA,short,right,3,1,0,0,0,0,0,0,0,0,5:23,5,1,1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KICKOFF
GB,1,PHI,11,6,1,PHI 30,GB 18,TOUCHDOWN,2,6,PHI 34,02:23,70,(2:23) (Shotgun) 26-S.Barkley left tackle to PHI 39 for 5 yards (7-Q.Walker).,run,5,1,0,0,0,0,0,NA,NA,NA,NA,S.Barkley,5,NA,NA,NA,NA,0,0,0,0,0,0,0,0,5:23,5,1,1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KICKOFF
GB,1,PHI,11,6,1,PHI 30,GB 18,TOUCHDOWN,3,1,PHI 39,01:40,70,"(1:40) (Shotgun) 1-J.Hurts pass short left to 11-A.Brown to PHI 47 for 8 yards (23-J.Alexander). Penalty on GB-97-K.Clark, Defensive Offside, declined.",pass,8,1,0,1,0,0,0,J.Hurts,8,A.Brown,8,NA,NA,short,left,6,2,0,1,1,0,0,0,0,0,5:23,5,1,1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KICKOFF
GB,1,PHI,11,6,1,PHI 30,GB 18,TOUCHDOWN,1,10,PHI 47,01:21,70,(1:21) (Shotgun) 1-J.Hurts right end pushed ob at PHI 49 for 2 yards (25-K.Nixon).,run,2,1,0,0,0,0,0,NA,NA,NA,NA,J.Hurts,2,NA,NA,NA,NA,0,0,0,0,0,0,0,0,5:23,5,1,1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KICKOFF
GB,1,PHI,11,6,1,PHI 30,GB 18,TOUCHDOWN,2,8,PHI 49,00:40,70,(:40) (Shotgun) 1-J.Hurts pass short right to 6-D.Smith to GB 43 for 8 yards (94-K.Brooks; 7-Q.Walker).,pass,8,1,0,1,0,0,0,J.Hurts,8,D.Smith,8,NA,NA,short,right,3,5,0,1,0,0,0,0,0,0,5:23,5,1,1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KICKOFF
